Timestamp,Sensor,X,Y,Z
73940.829136482,Accelerometer,-0.21,-0.08,9.84
73941.021676013,Accelerometer,-0.21,-0.09,9.85
73941.214215701,Accelerometer,-0.22,-0.09,9.85
73941.406755284,Accelerometer,-0.21,-0.09,9.85
73941.599294919,Accelerometer,-0.21,-0.09,9.85
73941.791834555,Accelerometer,-0.22,-0.08,9.84
73941.984374242,Accelerometer,-0.22,-0.08,9.84
73942.176914034,Accelerometer,-0.22,-0.08,9.84
73942.369453774,Accelerometer,-0.22,-0.09,9.84
73942.561993565,Accelerometer,-0.21,-0.09,9.84
73942.754533357,Accelerometer,-0.21,-0.09,9.84
73942.947073201,Accelerometer,-0.22,-0.09,9.84
73943.139613044,Accelerometer,-0.21,-0.09,9.84
73943.33215294,Accelerometer,-0.22,-0.08,9.84
73943.524692836,Accelerometer,-0.22,-0.08,9.84
73943.717232784,Accelerometer,-0.22,-0.09,9.84
73943.909772732,Accelerometer,-0.21,-0.09,9.84
73944.102312732,Accelerometer,-0.21,-0.09,9.84
73944.294852836,Accelerometer,-0.21,-0.09,9.84
73944.487392888,Accelerometer,-0.21,-0.08,9.84
73944.67993294,Accelerometer,-0.22,-0.08,9.84
73944.872473149,Accelerometer,-0.21,-0.08,9.84
73945.065013253,Accelerometer,-0.21,-0.08,9.84
73945.257553461,Accelerometer,-0.21,-0.09,9.84
73945.450093669,Accelerometer,-0.21,-0.08,9.84
73945.642633982,Accelerometer,-0.21,-0.09,9.84
73945.835174294,Accelerometer,-0.21,-0.08,9.84
73946.027714607,Accelerometer,-0.21,-0.09,9.84
73946.220255024,Accelerometer,-0.22,-0.08,9.84
73946.41279544,Accelerometer,-0.21,-0.09,9.85
73946.605335857,Accelerometer,-0.21,-0.08,9.84
73946.797876326,Accelerometer,-0.22,-0.09,9.84
73946.990416846,Accelerometer,-0.22,-0.08,9.84
73947.333119242,Accelerometer,-0.22,-0.09,9.84
73947.526688253,Accelerometer,-0.22,-0.09,9.83
73947.720240649,Accelerometer,-0.22,-0.09,9.83
73947.91378919,Accelerometer,-0.22,-0.08,9.83
73948.107337524,Accelerometer,-0.22,-0.08,9.82
73948.300901899,Accelerometer,-0.22,-0.08,9.82
73948.494464503,Accelerometer,-0.22,-0.09,9.82
73948.688021846,Accelerometer,-0.22,-0.09,9.82
73948.881585753,Accelerometer,-0.22,-0.09,9.82
73949.075145857,Accelerometer,-0.32,-0.13,9.82
73949.268700284,Accelerometer,-0.12,-0.06,9.82
73949.462262836,Accelerometer,-0.2,-0.08,9.81
73949.655817628,Accelerometer,-0.23,-0.08,9.82
73949.849381846,Accelerometer,-0.23,-0.08,9.82
